,Sentences
28,"The implications of our work are that: 1) reductions in prevalence need not be attributable to successful interventions, but could be due to seasonal variation in transmissibility, 2) sub-population dynamics can differ greatly, meaning that case count trajectories in one country should be used cautiously to inform projections in a second country, even in the same climate zone, 3) seasonal variation might slow down a pandemic and thereby provide a window of opportunity for better preparation of health care systems world-wide by scaling up capacity for care and diagnostics, and potentially through rapid development of antivirals and vaccine, and 4) after several years SARS-CoV-2 could develop into an endemic seasonal CoV similar to the transition of the 2009 A/H1N1 pandemic influenza virus into a seasonal influenza virus.

The overall impact of a potential SARS-CoV-2 pandemic depends critically on the case fatality ratio (CFR), which we have not modelled here"
29,"Even with this unknown, seasonal variation in transmissibility of SARS-CoV-2 and underlying differences in migration, introduction times, and attack rate should thus be taken into account when monitoring and projecting global transmission, planning further surveillance of the epidemic, and developing pandemic prevention and containment strategies.

All relevant data and script that generate the graphs are available in a dedicated github repository at github"
30,"On February 11, 2020, WHO Director-General announced that the novel coronavirus was officially named ""SARS-CoV-2"" On February 7, 2020, the Chinese Health and Health Commission temporarily named novel coronavirus-infected pneumonia as novel coronavirus pneumonia, abbreviated as""NCP"" [4] "
31,"The emergence of a novel coronavirus (SARS-CoV-2) in Wuhan, China in early December 2019 has caused widespread transmission within the country, with over 1,000 deaths reported to date"
32,"The COVID-19 introduction index highlights potential locations outside mainland China from which cases may be imported to each recipient country.

As SARS-CoV-2 continues to spread globally, more epicentres may emerge outside China"
33,"Hence, it is important for countries to remain alert for the possibilities of viral introduction from other countries outside China, even before local transmission in a source country becomes known.

The emergence of a novel coronavirus (SARS-CoV-2) in Wuhan City, China at the end of 2019, has caused large numbers of cases of coronavirus disease 2019 and deaths in Wuhan"
34,"There are also particular issues in an outbreak of a novel pathogen due to difficulties in mobilizing the response and in development of testing capacities, as well as changes over time in the definition of SARS-CoV-2 infection symptoms"
35,Since then others have used flight and other data to highlight countries at most risk of importation of SARS-CoV-2 from China
36,"12 In light of this, there is some urgency to assessing the relative risks of onward transmission between countries outside of China.

Therefore in this paper we estimate 1) the number of imported cases globally from Wuhan (using flight data and the currently reported cases), then using our estimates of the number of imported cases and current estimates of R0 for SARS-CoV-2 we estimate, 2) the probability of an outbreak in countries outside mainland China, and finally given this outbreak risk and the flights between countries outside mainland China, we estimate 3) the risk index for importations occurring from and to countries outside mainland China"
37,"We included these into our data as having originated from Wuhan to avoid producing false positive results when we later on identified countries that may have under-detected SARS-CoV-2 importation from Wuhan.

We used the monthly number of air ticket bookings during 2017 from the Official Airline Guide 14 to approximate the volumes of air passengers for each origin-destination route.

For each country or territory outside of mainland China (denoted by ), we assumed that the total number of COVID-19 cases imported from Wuhan ( ) followed a Poisson distribution with rate parameter proportional to the number of air travelers from Wuhan during January 2020 ( → , ), with an unknown coefficient 0 to be estimated from data (more detail in supporting information):

To date, the reported total number of imported cases from Wuhan ( ) differ substantially between countries even after adjusting for the volumes of air passengers arriving from Wuhan"
38,"Countries with a local outbreak risk above 0.5 in our main analysis were named as potential donor countries, and subsequently assessed for their relative potential of exporting SARS-CoV-2 to any recipient country or territory outside mainland China, described as follows.

For each recipient country outside mainland China , we derived a COVID-19 introduction index → (on a relative scale) that ranks potential donor countries in terms of their viral exportation potential"
39,"In some of these places, testing may be already increasing, but if not, our results would suggest that these places should be targets for increased screening and testing for SARS-CoV-2.

We next probabilistically determine the risk of local transmission within countries outside mainland China"
40,Background Whether the patients with COVID-19 infected by SARS-CoV-2 would commonly develop acute renal function damage is a problem worthy of clinical attention
41,"This study aimed to explore the effects of SARS-CoV-2 infection on renal function through analyzing the clinical data of 116 hospitalized COVID-19-confirmed patients.

Methods 116 hospitalized COVID-19-confirmed patients enrolled in this study were hospitalized in the Department of Infectious Diseases, Renmin Hospital of Wuhan University from January 14 to February 13, 2020"
42,"SARS-CoV-2 RNA in 53 urine sediments of enrolled patients was examined by real-time RT-PCR.

Findings 12 (10.8%) and 8 (7.2%) patients showed mild elevation of blood urea nitrogen or creatinine, and trace or 1+ albuminuria respectively in 111 COVID-19-confirmed patients without basic kidney disease"
43,"In addition, 5 patients with chronic renal failure (CRF) were undergone regular continuous renal replacement therapy (CRRT) were confirmed infection of SARS-CoV-2, and diagnosed as COVID-19"
44,"Moreover, SARS-CoV-2 RNA in urine sediments was positive only in 3 patients from 48 cases without renal illness before, and one patient had a positive for SARS-CoV-2 ORF 1ab from 5 cases with CRF.

In December 2019, an acute respiratory infectious disease caused by a novel coronavirus occurred in Wuhan, Hubei Province, China, which is now officially named as ""2019 coronavirus disease "" by the WHO [1] [2] [3] "
45,"Whole genome sequencing and systematic analysis showed that this novel coronavirus is a distinct clade from beta coronavirus associated with human severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) [6] , which was officially named ""SARS-CoV-2"" by WHO now"
46,"Although the origin of SARS-CoV-2 is still being investigated, current evidence suggests it was transmitted to humans through the spread of wild animals illegally sold in Huanan Seafood Wholesale Market [7] "
47,Case reports have confirmed the interpersonal transmission of SARS-CoV-2 [8] 
48,"reported in 138 hospitalized COVID-19-confirmed cases, presumed hospital-related transmission of SARS-CoV-2 was suspected in 41% of patients, 26% of patients received ICU care, and mortality was 4.3% [10] "
49,"In this study, the clinical data of 116 hospitalized COVID-19-confirmed patients were analyzed, and the effects of SARS-CoV-2 infection on renal function were explored.

Renmin Hospital of Wuhan University is located in Wuhan City, Hubei Province, an area where COVID-19 is endemic"
50,"This study was approved by the Institutional Ethics Committee of Renmin Hospital of Wuhan University.

All COVID-19 patients enrolled in this study were laboratory-confirmed cases, which were identified with nucleic acid detection of SARS-CoV-2 from a throat swab samples using reverse transcription-polymerase chain reaction (RT-PCR)"
51,The criteria for the confirmed-diagnosis of SARS-CoV-2 was that at least one gene site was amplified to be positive for nucleocapsid protein (NP) gene and open reading frame (ORF) 1ab gene
52,19.20025288 doi: medRxiv preprint was used for RT-PCR assay of SARS-CoV-2 RNA
53,"Specific primers and probes for SARS-CoV-2 RNA detection were based on the recommendation by the National Institute for Viral Disease Control and Prevention (China) (http://ivdc.chinacdc.cn /kyjz/202001/t20200121_211337.html).

Epidemiological, clinical, laboratory, and radiological characteristics were recorded"
54,"Data from above two studies suggested that acute renal impairment was uncommon in COVID-19, and SARS-CoV-2 infection does not significantly cause obvious azotemia and acute renal injury.

Based on the clinical, pathologic study, and laboratory features of SARS-CoV infection in SARS patients in 2003, the data showed that acute renal impairment was uncommon, but carried a formidably high mortality (91.7%, 33 of 36 cases) [17] "
55,Be cause high homology of SARS-CoV-2 and SARS-CoV
56,"In this study, we also observed that the patients with chronic renal failure (CRF) who were undergone regular continuous renal replacement therapy (CRRT) were infected with SARS-CoV-2, and confirmed as COVID-19"
57,"Unlike a formidably high mortality in SARS complicated with renal impairment, none of the patients died from the aggravation of CRF or from COVID-19 itself caused by infection with SARS-CoV-2"
58,"Kaplan-Meier curve was constructed by the survival and survminer package in R, version 3.6.0 (http://www.r-project.org/).

291 patients with laboratory-confirmed SARS-CoV-2 infection were included in this study.

Epidemiological and baseline characteristics of patients in detail were shown in Table 1 "
59,"While most symptoms were more frequently seen in severe/critical group, nausea or vomiting were more common in mild group, which may indicate different body responses to SARS-CoV-2 infection in patients with different health state and immune system defensive characteristics"
60,"19 We speculate in the lung inflammation caused by SARS-CoV-2 or the secondary systemic inflammation, the activated body stress system may lead to the increase of fibrinogen"
61,"The World Health Organization declared the COVID-19 epidemic as an international public health emergency on January 30, 2020.

To prevent further dissemination of SARS-CoV-2, 31 Provinces in China Mainland had raised their public health response level to the highest state of emergency (level-1) by January 29, 2020"
62,"Wuhan still has much to do.

SARS-CoV-2 has diversity transmission approaches, including respiratory (mouth foam) and contact routes which have been confirmed, as well as aerosol and digestive (fecal-oral) routes which cannot be ruled out (National Health Commission of China, 2020)"
63,"SARS-CoV-2 is highly contagious, Wang et al (2020) projected that without any control measure the infected population would exceed 200,000 in Wuhan by the end of February"
64,"The strategy adopted by China has changed the fast-rising curve of newly diagnosed cases, and the simplest and most direct thing that can explain this is the data (Fig.7) .

The SARS-CoV-2 epidemic is still rapidly growing and spread to more than 42 countries as of February 27, 2020.

At present, the most serious countries outside China are South Korea, Italy, Iran, and Japan"
65,"SARS-CoV-2 rapidly spread to other parts of Hubei province, other parts of China, and 29 countries, resulting in 17680 cases and 508 deaths (estimated fatality: 2.87%), 12975 cases and 100 deaths (0.77%), and 2105 cases and 24 deaths (1.14%), respectively (up to February 24, 2020)"
66,"The transmissibility of SARS-CoV-2 is higher and the fatality is lower compared to SARS-CoV, although the two CoVs share the receptor-human angiotensin converting enzyme II (ACE2)"
67,"Furthermore, the disease course of COVID-19, the duration of viral existence, and the transmissibility of SARS-CoV-2 in asymptomatic carriers remain unknown"
68,"Extremely severe type met one of the following criteria: respiratory failure that needs mechanical ventilation, shock, and combined organ failure that need to be treated in intensive care unit.

Patients were discharged from hospital if they met the criteria: temperature normalized for at least 3 days, apparent improvement in respiratory symptoms, absorption of lung inflammation, and negative SARS-CoV-2 genomic RNA tested for twice at 1 day interval"
69,"The mean incubation was 9.06 (95% CI, 6.11-12.00) days for patients without pneumonia and 7.54 (95% CI, 5.29-9.79) days for patients with pneumonia.

Of the 55 patients, 32 had regular SARS-CoV-2 examination data"
70,"Of the 32 patients, one co-infected with human immunodeficiency virus (HIV) and hepatitis B virus (HBV) and three cases whose samples were intermittently positive were excluded.

The mean (95% CI) SARS-CoV-2-positive duration from the first SARS-CoV-2-positive test to RT-PCR conversion in the remaining 28 cases was 9.71 (8.21-11.22) days"
71,"Patient A, who was long-term bed-ridden, was infected with SARS-CoV-2.

She contacted only 4 healthy family members within 2 weeks before illness onset.

The members did not have direct or indirect exposure history"
72,"During the entire course, her sister' family members were not ill or even discomfort, indicating that asymptomatic carriers transmit SARS-CoV-2.

Clinical and laboratory parameters of COVID-19 patients with and without pneumonia at the admission "
73,"https://doi.org/10.1101/2020.02.28.20028068 doi: medRxiv preprint history, indicating that SARS-CoV-2 transmits predominantly via respiratory droplet.

As SARS-CoV-2 shares its receptor with SARS-CoV, 6 We revealed that the mean incubation of SARS-CoV-2 infection was 8.42 days"
74,"Thus, the incubation from this study should be important in quarantining close contactors outside the outbreak zone.

The durations of COVID-19 course and SARS-CoV-2-positive course are not reported previously"
75,21 The mean SARS-CoV-2-positive duration 
76,"SARS-CoV-2 might be present in patients for around 18 days by adding the mean incubation of 8.42 days.

This duration seems to be shorter than SARS"
77,"27 Thus, IL-6 might bridge SARS-CoV-2 infection and alveolar cell injury via inducing "
78,"Second, the family members of patient B's sister were not examined for SARS-CoV-2, because they left when we performed this study.

Third, half patients are still hospitalized"
79,"28 Finally, we characterized the epidemiological features including the incubation period, time to RT-PCR conversion of SARS-CoV-2, COVID-19 course, and the transmissibility SARS-CoV-2 in asymptomatic carriers"
80,"We expect this critical review will provide insights to understand the clinical characteristics of COVID-19 in a more systematic manner.

Systematic searches were performed via the Medline database (PubMed) and Embase combining the terms (novel coronavirus OR 2019 novel coronavirus OR 2019-nCoV OR Coronavirus disease 2019 OR COVID-19 OR SARS-CoV-2)"
81,"Based on the diagnostic gold standard for COVID-19 (positive RT-PCR assay for SARS-CoV-2), we synthesized data on demographic and clinical parameters in an unbiased manner"
82,"Quality assessment of the literatures showed that cross-sectional studies achieved a good quality (median score, 7.0) while case report/series were fair (median score, 6.0).

A total of 3,470 COVID-19 patients were included, of which 3,468 confirmed cases were based on the positive SARS-CoV-2 on RT-PCR assay while two cases 25 were diagnosed according to coronavirus antibody detections"
83,"The causative pathogen was announced by the Chinese Center for Disease Control and Prevention (China CDC) on Jan 08, 2020, to be a novel coronavirus [1] , lately named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) [2] "
84,"1, [3] [4] The novel coronavirus, named SARS-CoV-2, and its genomic characterization was performed a few days after, permitting to devise a robust test method"
85,"The RNA genome of 2019-nCoV features an identity of about 82% to that of the SARS coronavirus (SARS-CoV); both viruses belong to clade b of the genus Betacoronavirus.

Hence, it has been proposed to rename the new virus as SARS-CoV-2 (Gorbalenya et al., 2020) .

One of the best characterized drug targets among coronaviruses is the main protease (M pro , also called 3CL pro )"
86,"At present, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) a newly recognized viruse, has spread rapidly throughout Wuhan (Hubei province) to other provinces in China and around the world, and has infected closed to 80,000 people in China and killed more than 2,000 untill Feb 26, 2020 because of no specific and effective drug.

In the course of sepsis, both innate and acquired immune systems are involved in its development, in which the mononuclear phagocyte system plays a crucial role"
87,"The virus was initially named 2019-novel coronavirus (2019-nCoV) on January 12, and subsequently, SARS-CoV-2 on February 11.

Disease caused by the infection is now designated coronavirus infected disease 2019, or COVID-19"
88,"In the There have been several studies describing the clinical characteristics of SARS-CoV-2 infected patients [1, 6, 7] , including symptoms, lab tests and radiographic features"
89,"This current coronavirus, denoted as SARS-CoV-2, is the seventh known coronavirus to infect humans"
90,"A passenger, who visited China on January 10 th , was on board from January 20 th and January 25 th before being confirmed with a SARS-CoV-2 infection"
91,All people on board have been quarantined at sea since February 5 th and 621 out of 3711 people were confirmed positive for SARS-CoV-2
92,"Using the infection period of 12.5 days, the effective reproductive number on the cruise, Rc, was 13.0 (95% CI 8.63-23.375).

The link between many of the December cases and the Huanan Seafood Market indicates that the Huanan Seafood Market is one of the zoonotic origins of SARS-CoV-2, if not only.

After the forced shutdown of the Huanan Seafood Market on January 1 st , the effectiveness of the zoonotic infection and a potential secondary source of SARS-CoV-2 that continued to infect the Wuhan people remained in question.

"
93,"The first SARS-CoV-2 onset was found on December 1 st 2019 (Huang et al., 2020) , and by the 1 st of January, 41 patients were confirmed and quarantined"
94,"The basic reproductive number for COVID-19 was then found to be 5.6, which is substantially higher than that for SARS.

In an enclosed and crowded environment, the transmission of SARS-CoV-2 was thought to significantly increase"
95,"Concurrently with the development of this manuscript, it was reported that South Korea had more than 1,000 home isolations in the city of Daegu for a suspected SARS-CoV-2 infection"
96,"On this analysis technique, to precisely decode the evolutionary history of 1 5 9 SARS-CoV-2, the genome EPI ISL 402131 (bat-RaTG13-CoV) from GISAID was 1 6 0 also included as the outgroup following the previous study [25] , because it is the 1 6 1 closest sister betacoronavirus to SARS-CoV-2.3"
97,The 136 complete genome 1 6 2 sequences of SARS-CoV-2 and an outgroup (bat-RaTG13-CoV) were aligned using 1 6 3 MAFFT then the alignment was manually checked using Geneious
98,"In this study, the substitution rate was set as 0.92×10 -3 (95% CI, 1 9 6 0.33×10 -3 -1.46×10 -3 ) substitution/site/year based on the most recent estimation for 1 9 7 SARS-CoV-2 [25]"
99,"The evolutionary network of 80 haplotypes of SARS-CoV-2, with bat-RaTG13-CoV 2 5 0 as the outgroup, is shown in Figure 4 "
100,"However, the mutations between mv6 and bat-RaTG13-CoV was more than 2 5 9 1,000, which indicated that SARS-CoV-2 still has a relative distant kinship with the 2 6 0 outgroup (bat-RaTG13-CoV)"
101,"According to a recent case report, SARS-CoV-2 RNA was detected in a stool CC-BY-NC-ND 4.0 International license It is made available under a is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity"
102,146 Receptor-dependent viral entry is the first step of SARS-CoV-2 infection
103,"A novel strain of coronavirus named Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was isolated and identified on 2 January 2020 2 .

Human-to-human transmission have been confirmed by a study of a family cluster and have occurred in health-care workers 3, 4 "
104,"We then investigate a deterministic (susceptible-exposed-infectious-recovered) SEIR compartmental model based on the clinical progression of the disease, epidemiological status of the individuals, and the intervention measures to inferred the basic reproductive number of SARS-CoV-2 and the transmission among Wenzhou and three prefecture-level cities"
105,"Finally, we forecasted and compared the spread of SARS-CoV-2 across Wenzhou (Southeastern), Shenzhen (Southern), Zhengzhou (Central) and Harbin (Northern), accounting for the effect of the Wenzhou quarantine implemented since Jan 27, 2020 and other interventions"
106,"https://doi.org/10.1101/2020.02.25.20024398 doi: medRxiv preprint A total of 434 incidence, 31 severe case, 99 hospital discharges and 5304 probable COVID-19 cases were reported before February 10, 2020, and 168 patients who visited Wuhan after the onset of the SARS-CoV-2 epidemic"
107,"The total number of affected people is 538 (95% CI: 534-542 

Although the current epidemic of SARS-CoV-2 in China is unprecedented in scale, clinical presentations greatly resemble SARS-CoV"
108,"Recently, Guan and colleagues reported 1099 cases with laboratory-confirmed SARS-CoV-2 from 552 hospitals across 31 provinces/provincial municipalities"
109,"Of the 91 cases reported in here, 88 cases were tested positive for SARS-CoV-2 at least once"
110,These laboratory confirmation assays for SARS-CoV-2 were performed at CDCs of various cities and at Ningbo First Hospital following the standard protocol
111,"8 Three further cases were reported in Ningbo cohort as clinical-diagnosed COVID-19 pneumonia because of their epidemiological history, signs, symptoms and chest CT evidence according to National Health Commission of the People's Republic of China guidance, though they tested negative for the SARS-CoV-2"
112,"All analyses were analyzed by IBM SPSS statistics version 26.0.

This was a retrospective case series study, no patients and public were involved in the design, or conduct, or reporting, or dissemination plans of our research.

Of all 91 patients recruited as of 11 February, we detected 88 (96.70%) laboratory-confirmed COVID-19 pneumonia with throat swab samples that positive for SARS-CoV-2 and 3(3.30%) clinical-confirmed COVID-19 pneumonia since they had definite demographic history, typical symptoms and chest CT images.

As shown in Table 1 , The median age of the 91 patients was 50 years (IQR, 36.5 to 57.0), ranged from 5 to 96 years"
113,"The median of incubation period was 6 (IQR, [3] [4] [5] [6] [7] [8] days and from first visit to a doctor to confirmed diagnosis was only 1 (1-2) days.

Our study provided further evidence that rapid human-to-human transmission of SARS-CoV-2 outside Wuhan had occurred"
114,"Furthermore, asymptomatic persons are potential sources of SARS-CoV-2 transmission"
115,"20 Recently, a study reported that they detected SARS-CoV-2 in stool samples from patients with abdominal symptoms"
116,"21 Interestingly, we had detected SARS-CoV-2 in rectal swab of "
117,"The typical manifestation of lung CT were ground-glass opacification (GGO) of bilateral multiple lobular and subsegmental areas of consolidation (Figures 1 and 2 ).

Our study provided three cases as clinical-confirmed COVID-19 pneumonia because of their epidemiological history, signs, symptoms and chest CT evidence according to guidance, though they tested negative for the SARS-CoV-2"
118,It is reported that combination of Lopinavir and Ritonavir had been applied to SARS-CoV-2 patients with substantial clinical benefit
119,"Despite the virus caused 55 SARS (SARS-CoV) and the virus caused COVID-19 (SARS-CoV-2) are homologous, 56 their epidemiologic characteristics are quite different"
120,We only chose the cases that are tested positive 94 by real-time RT-PCR with specific primers and probes to SARS-CoV-2 both at the 95 corresponding provincial CDC and the National Institute for Viral Disease Control at 96 CCDC
121,"Similar to outbreaks of other respiratory pathogens (1) (2) (3) (4) , syndromic airport screening at arrival of travellers from regions with a high risk of human-to-human transmission of SARS-CoV-2 is unlikely to prevent a sufficient proportion of infected travellers to prevent global spread (5, 6) "
122,"Sensitising arriving travellers to the symptoms and risk of SARS-CoV-2 and to encourage selfisolation as well as rapidly seeking for medical assistance via telephone which in turn will trigger tracing and quarantine of contacts, may have a more pronounced effect and is currently implemented in many transport hubs"
123,"We aim to estimate the effectiveness of syndromic screening and traveller sensitisation for delaying the onset of sustained SARS-CoV-2 spread in previously unaffected regions.

We represent the potential importation of infections by an average number of infected travellers per week, λ , attempting to travel to a specific country or region currently not experiencing an outbreak"
124,"For those assumptions, Quilty et al estimate the probability of SARS-CoV-2 infected travellers not being detected at either exit or entry screening as 46% and as 42% for exit-only screening (6) .

We represent traveller sensitisation as reducing "
125,"Sensitisation occurs via, e.g., posters and handouts to travellers arriving from high risk regions, which increases the likelihood that those travellers, if they experience SARS-CoV-2 symptoms, will self-isolate on the occurrence of mild symptoms and rapidly report to health care providers who in turn trigger contact tracing"
126,"As a base case, in line with Hellewell et al (7) we assume that these measures to accelerate self-isolation and reporting in the early stages of the SARS-CoV-2 pandemic can reduce the average number of onward transmitting secondary infections by about 50%.

To determine the impact of interventions, we calculate the difference in time to outbreak occurrence with and without interventions: 

We considered three syndromic screening intervention scenarios: no screening, exit-only, and exit-and-entry screening"
127,"Comparisons are made to no contact tracing and no screening (there are no ""No screening"" results at 0% sensitisation as this is the baseline against which comparisons are to be made).

Syndromic screening of air travellers at departure and/or arrival is unlikely to prevent a sufficient proportion of SARS-CoV-2 infected travellers from entering a yet unaffected country and thereby prevent a local outbreak"
128,"We investigate here how syndromic screening and traveller sensitisation, as well as their combination, may delay an outbreak of SARS-CoV-2"
129,"These results are sensitive to a number of key assumptions: with increasing R 0 , less heterogeneous R 0 or less effect of traveller sensitisation the estimated achievable delay quickly becomes negligible We find a potential role for interventions targeting air-passengers to delay major outbreaks of SARS-CoV-2 in previously unaffected regions as long as implemented when there are only a few infected travellers per week"
130,"Of note, however, is that syndromic screening at arrival only substantially adds to control efforts if syndromic screening at departure is absent or largely ineffective.

While our findings may encourage implementation of both syndromic screening on entry and traveller sensitisation in the early stages of the SARS-CoV-2 pandemic, it is important to note that these findings are highly sensitive to the underlying base-case assumptions and do not consider the economic implications of large scale air passenger screening and contact tracing"
131,"While all of our assumptions include the best knowledge on SARS-CoV-2 to date, there is considerable uncertainty associated with all of these assumptions"
132,"Over the last few weeks, only a few SARS-CoV-2 infected travellers have been reported with symptoms within a few days after their arrival (15)"
133,"It does also run the risk that travellers arriving in the US despite their travel history would likely not be reached by targeted sensitisation and/or that they would avoid self-reporting if symptomatic, with potentially dire implications for local spread.

In summary, we find that targeting air-travellers with syndromic screening at exit or entry and sensitisation for signs of symptoms following their arrival may delay a major outbreak in the early stages of the SARS-CoV-2 outbreak"
134,"In most countries, air-traveller sensitisation and rapid contact tracing protocols are already in place in response to the SARS-CoV-2 outbreak"
135,The virus was initially named by WHO as the 2019 novel coronavirus and was renamed in 11 th Feb 2020 as SARS-CoV-2 4 
136,"N and E genes of the SARS-CoV-2 may form cross-reaction with other coronaviruses.

Metagenomic sequencing was the method by which SARS-COV-2 was initially identified"
137,"be validated for SARS-CoV-2 detection, these tests may also be used in the first-step diagnosis.

All rights reserved"
138,"In December 2019, outbreak of SARS-CoV-2 infection has brought back the attention of pathogenic coronavirus to the spotlight [1] [2] [3] [4] [5] "
